;Q1;Q2;Q3;Q4;Q5;C1;S1;C2;S2;C3;S3;C4;S4;C5;S5;CTotal;STotal;V1;V2;V3;V4;V5;VTotal;PTotal
77;10301;3476;797;7347;609;25752.5;1030.1000000000001;5214.0;695.2;44879.07;239.1;37616.64;2938.8;2350.74;304.5;115812.95000000001;5207.700000000001;57273.56;11436.04;54913.3;52898.4;3934.14;180455.44000000003;64642.49000000002
78;273;15635;856;5466;4333;682.5;27.3;23452.5;3127.0;48201.36;256.8;27985.920000000002;2186.4;16725.38;2166.5;117047.66;7764.0;1517.8799999999999;51439.15;58978.4;39355.200000000004;27991.18;179281.81;62234.149999999994
79;19740;2566;231;3456;8726;49350.0;1974.0;3849.0;513.2;13007.61;69.3;17694.72;1382.4;33682.36;4363.0;117583.69;8301.9;109754.4;8442.14;15915.900000000001;24883.2;56369.96;215365.6;97781.91
80;2278;16404;403;9183;4043;5695.0;227.8;24606.0;3280.8;22692.93;120.89999999999999;47016.96;3673.2000000000003;15605.98;2021.5;115616.87;9324.2;12665.679999999998;53969.16;27766.7;66117.6;26117.78;186636.92;71020.05000000002
81;796;6495;1533;2102;1556;1990.0;79.60000000000001;9742.5;1299.0;86323.23000000001;459.9;10762.24;840.8000000000001;6006.16;778.0;114824.13000000002;3457.3;4425.759999999999;21368.55;105623.70000000001;15134.4;10051.76;156604.17;41780.03999999999
82;13982;642;322;4035;11606;34955.0;1398.2;963.0;128.4;18131.82;96.6;20659.2;1614.0;44799.159999999996;5803.0;119508.18;9040.2;77739.92;2112.18;22185.800000000003;29052.0;74974.76;206064.65999999997;86556.47999999998
83;7495;5448;507;2911;11446;18737.5;749.5;8172.0;1089.6000000000001;28549.170000000002;152.1;14904.32;1164.4;44181.56;5723.0;114544.54999999999;8878.6;41672.2;17923.920000000002;34932.3;20959.2;73941.16;189428.78;74884.23000000001
84;12038;18024;472;1606;6981;30095.0;1203.8;27036.0;3604.8;26578.32;141.6;8222.72;642.4000000000001;26946.66;3490.5;118878.70000000001;9083.1;66931.28;59298.96;32520.800000000003;11563.2;45097.26;215411.5;96532.79999999999
85;13346;831;988;168;6060;33365.0;1334.6000000000001;1246.5;166.20000000000002;55634.28;296.4;860.16;67.2;23391.6;3030.0;114497.54000000001;4894.400000000001;74203.76;2733.9900000000002;68073.20000000001;1209.6000000000001;39147.6;185368.15000000002;70870.61000000002
86;5636;7095;797;2137;9814;14090.0;563.6;10642.5;1419.0;44879.07;239.1;10941.44;854.8000000000001;37882.04;4907.0;118435.05000000002;7983.5;31336.159999999996;23342.55;54913.3;15386.4;63398.44;188376.84999999998;69941.79999999996
87;6844;9311;744;4867;5613;17110.0;684.4000000000001;13966.5;1862.2;41894.64;223.2;24919.04;1946.8000000000002;21666.18;2806.5;119556.35999999999;7523.1;38052.64;30633.19;51261.600000000006;35042.4;36259.98;191249.81000000003;71693.45000000004
88;13421;17800;490;1345;5541;33552.5;1342.1000000000001;26700.0;3560.0;27591.9;147.0;6886.400000000001;538.0;21388.26;2770.5;116119.05999999998;8357.6;74620.76;58562.0;33761.0;9684.0;35794.86;212422.62;96303.56000000001
89;6679;7686;313;6456;9343;16697.5;667.9000000000001;11529.0;1537.2;17625.030000000002;93.89999999999999;33054.72;2582.4;36063.979999999996;4671.5;114970.23;9552.900000000001;37135.24;25286.94;21565.7;46483.200000000004;60355.78;190826.86;75856.62999999999
90;4502;195;170;16518;2505;11255.0;450.20000000000005;292.5;39.0;9572.7;51.0;84572.16;6607.200000000001;9669.3;1252.5;115361.66;8399.900000000001;25031.12;641.55;11713.000000000002;118929.6;16182.3;172497.57;57135.91
91;10434;18771;489;4086;3118;26085.0;1043.4;28156.5;3754.2000000000003;27535.59;146.7;20920.32;1634.4;12035.48;1559.0;114732.89;8137.700000000001;58013.03999999999;61756.590000000004;33692.100000000006;29419.2;20142.28;203023.21000000002;88290.32000000002
92;6131;1683;1403;770;4897;15327.5;613.1;2524.5;336.6;79002.93000000001;420.9;3942.4;308.0;18902.42;2448.5;119699.75;4127.1;34088.36;5537.07;96666.70000000001;5544.0;31634.62;173470.75;53771.0
93;13187;5179;1086;2277;1594;32967.5;1318.7;7768.5;1035.8;61152.66;325.8;11658.24;910.8000000000001;6152.84;797.0;119699.74;4388.1;73319.72;17038.91;74825.40000000001;16394.4;10297.24;191875.67;72175.93000000001
94;15692;16632;303;2250;6536;39230.0;1569.2;24948.0;3326.4;17061.93;90.89999999999999;11520.0;900.0;25228.96;3268.0;117988.88999999998;9154.5;87247.51999999999;54719.28;20876.7;16200.0;42222.56;221266.06;103277.17000000001
95;8312;14879;746;5784;568;20780.0;831.2;22318.5;2975.8;42007.26;223.79999999999998;29614.08;2313.6;2192.48;284.0;116912.32;6628.4;46214.719999999994;48951.91;51399.4;41644.8;3669.28;191880.11000000002;74967.79000000001
96;15310;1686;138;11935;1159;38275.0;1531.0;2529.0;337.20000000000005;7770.780000000001;41.4;61107.200000000004;4774.0;4473.74;579.5;114155.72000000002;7263.1;85123.59999999999;5546.9400000000005;9508.2;85932.0;7487.14;193597.88;79442.15999999999
97;8834;12238;455;650;13084;22085.0;883.4000000000001;18357.0;2447.6;25621.05;136.5;3328.0;260.0;50504.24;6542.0;119895.29000000001;10269.5;49117.03999999999;40263.02;31349.500000000004;4680.0;84522.64;209932.2;90036.91
98;436;6244;299;17470;158;1090.0;43.6;9366.0;1248.8000000000002;16836.690000000002;89.7;89446.40000000001;6988.0;609.88;79.0;117348.97000000002;8449.1;2424.16;20542.760000000002;20601.100000000002;125784.0;1020.68;170372.7;53023.729999999996
99;6001;2326;136;15999;2086;15002.5;600.1;3489.0;465.20000000000005;7658.16;40.8;81914.88;6399.6;8051.96;1043.0;116116.50000000001;8548.7;33365.56;7652.54;9370.400000000001;115192.8;13475.56;179056.86;62940.35999999997
100;4311;8608;1022;6620;1105;10777.5;431.1;12912.0;1721.6000000000001;57548.82;306.59999999999997;33894.4;2648.0;4265.3;552.5;119398.02;5659.8;23969.16;28320.32;70415.8;47664.0;7138.3;177507.58;58109.55999999998
101;11360;16752;162;7557;4374;28400.0;1136.0;25128.0;3350.4;9122.220000000001;48.6;38691.840000000004;3022.8;16883.64;2187.0;118225.7;9744.8;63161.6;55114.08;11161.800000000001;54410.4;28256.04;212103.92;93878.22000000002
102;2865;8093;152;15750;2570;7162.5;286.5;12139.5;1618.6000000000001;8559.12;45.6;80640.0;6300.0;9920.199999999999;1285.0;118421.31999999999;9535.7;15929.4;26625.97;10472.800000000001;113400.0;16602.2;183030.37000000002;64609.05000000003
103;1025;11361;62;15046;3696;2562.5;102.5;17041.5;2272.2000000000003;3491.2200000000003;18.599999999999998;77035.52;6018.400000000001;14266.56;1848.0;114397.3;10259.7;5699.0;37377.69;4271.8;108331.2;23876.16;179555.85;65158.55
104;16000;7911;149;9904;1848;40000.0;1600.0;11866.5;1582.2;8390.19;44.699999999999996;50708.48;3961.6000000000004;7133.28;924.0;118098.45000000001;8112.5;88960.0;26027.19;10266.1;71308.8;11938.08;208500.17;90401.72
105;2937;2469;35;10049;13061;7342.5;293.7;3703.5;493.8;1970.8500000000001;10.5;51450.880000000005;4019.6000000000004;50415.46;6530.5;114883.19;11348.1;16329.72;8123.01;2411.5;72352.8;84374.06;183591.09;68707.9
106;6577;8134;12;5980;14900;16442.5;657.7;12201.0;1626.8000000000002;675.72;3.5999999999999996;30617.600000000002;2392.0;57514.0;7450.0;117450.82;12130.1;36568.119999999995;26760.86;826.8000000000001;43056.0;96254.0;203465.78;86014.95999999999
107;7745;315;102;15962;3199;19362.5;774.5;472.5;63.0;5743.62;30.599999999999998;81725.44;6384.8;12348.14;1599.5;119652.2;8852.400000000001;43062.2;1036.35;7027.8;114926.40000000001;20665.54;186718.29;67066.09000000001
108;6685;15170;120;5852;10532;16712.5;668.5;22755.0;3034.0;6757.200000000001;36.0;29962.24;2340.8;40653.52;5266.0;116840.45999999999;11345.3;37168.6;49909.3;8268.0;42134.4;68036.72;205517.02;88676.56
